title,subtitle,imgurl,imgname,attr,price
金致臻颜松露奢养肌活系列,金致臻颜松露奢养肌活眼霜 15ML,https://www.lorealparis.com.cn/Images/products/Images/G3628300_288_g.jpg,42876a19-1040-11e9-8b1d-f430b9124a41,焕活肌肤源动力，透现青春之美,￥480.00
金致臻颜松露奢养肌活系列,金致臻颜松露奢养肌活日霜 50ML,https://www.lorealparis.com.cn/Images/products/Images/G3628200_288_g.jpg,4288a306-1040-11e9-8ffc-f430b9124a41,焕活肌肤源动力，透现青春之美,￥480.00
复颜抗皱紧致,复颜洁面乳,https://www.lorealparis.com.cn/Images/products/Images/G1043501_288_g.jpg,428a7866-1040-11e9-82b1-f430b9124a41,彻底清洁肌肤，使肌肤完美洁净，并为抗皱紧致保养程序做好准备。,￥140.00
多效修复5,欧莱雅多效修复去屑洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3087400_288_g.jpg,428b6352-1040-11e9-9714-f430b9124a41,全新升级，紧锁修护，配方蕴含积雪草精萃，全新配方不油腻，累积修护受损头发，持久去屑,￥21.00
多效修复5,多效修复5护发膜,https://www.lorealparis.com.cn/Images/products/Images/G3088400_288_g.jpg,428c3ab6-1040-11e9-bad7-f430b9124a41,全新升级，紧锁修护，配方蕴含积雪草精萃，全新配方不油腻，每周只需1-2次，积累修护受损头发,￥59.00
多效修复5,欧莱雅多效修复润发乳,https://www.lorealparis.com.cn/Images/products/Images/G3088600_288_g.jpg,428c9c9e-1040-11e9-8f64-f430b9124a41,全新升级，48小时紧锁修护，配方蕴含积雪草精萃，全新配方不油腻，累积修护受损头发,￥21.00
茶树植萃去屑,欧莱雅茶树植萃去屑舒缓洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3205900_288_g.jpg,428ceafe-1040-11e9-89c2-f430b9124a41,全新升级，蕴含天然去屑茶树精油，舒缓敏感头皮，4周头屑不反复。,￥46.00
茶树植萃去屑,欧莱雅茶树植萃去屑滋养洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3200700_288_g.jpg,428d6070-1040-11e9-aa0f-f430b9124a41,全新升级，蕴含天然去屑茶树精油，抵御头屑反复，滋养干性头皮,￥46.00
茶树植萃去屑,欧莱雅茶树植萃去屑净油洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3201000_288_g.jpg,428d8798-1040-11e9-a8ea-f430b9124a41,全新升级，蕴含天然去屑茶树精油，净化油性头皮，4周头屑不反复。,￥46.00
奇焕润发精油蔷薇臻耀,欧莱雅奇焕润发精油蔷薇臻耀  护发膜,https://www.lorealparis.com.cn/Images/products/Images/G2988809_288_g.jpg,428e243e-1040-11e9-bb8b-f430b9124a41,萃取自法国蔷薇精萃油，即刻滋养，顺滑莹亮，蔷薇馨香萦绕发丝,￥98.00
金致臻颜松露奢养肌活系列,金致臻颜松露奢养肌活乳液 110ML,https://www.lorealparis.com.cn/Images/products/Images/G3628100_288_g.jpg,428ec0a8-1040-11e9-8799-f430b9124a41,焕活肌肤源动力，透现青春之美,￥480.00
金致臻颜松露奢养肌活系列,金致臻颜松露奢养肌活源液 130ML,https://www.lorealparis.com.cn/Images/products/Images/G3628400_288_g.jpg,428ec0a9-1040-11e9-84e5-f430b9124a41,焕活肌肤源动力，透现青春之美,￥380.00
玻尿酸水光充盈导入系列,复颜玻尿酸水光充盈全脸淡纹眼霜,https://www.lorealparis.com.cn/Images/products/Images/G3626900_288_g.jpg,428ff99c-1040-11e9-a7f2-f430b9124a41,眼霜级淡纹功效，卓效对抗各种面部细纹，一支实现全脸弹润柔滑,￥340.00
青春密码,欧莱雅青春密码酵素精华鲜注面膜 5pc*33g,https://www.lorealparis.com.cn/Images/products/Images/G3667700_288_g.jpg,428ff99d-1040-11e9-9644-f430b9124a41,含98%高纯度发酵精华  15分钟，肌肤更显润泽柔滑,￥290.00
复颜抗皱紧致,复颜密集修护精华液,https://www.lorealparis.com.cn/Images/products/Images/G1443800_288_g.jpg,4290960c-1040-11e9-9409-f430b9124a41,升级添加积雪草修护力，结合基层提拉素科技，修护力注入8大部位，更少皱纹，更多紧致，年轻继续。,￥260.00
复颜抗皱紧致,复颜抗皱紧致滋润眼霜,https://www.lorealparis.com.cn/Images/products/Images/G1051401_288_g.jpg,42913286-1040-11e9-83a5-f430b9124a41,升级添加积雪草修护力，结合基层提拉素科技，修护力注入8大部位，更少皱纹，更多紧致，年轻继续。,￥220.00
复颜抗皱紧致,复颜贴合提拉弹力面膜,https://www.lorealparis.com.cn/Images/products/Images/G3022300_288_g.jpg,4291cef4-1040-11e9-b2ad-f430b9124a41,欧莱雅第一款提拉紧致面膜，精确贴合脸部轮廓，提拉紧致肌肤，上扬年轻轮廓。,￥150.00
多效修复5,欧莱雅多效修复洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3088200_288_g.jpg,42926b5e-1040-11e9-814e-f430b9124a41,全新升级，48小时紧锁修护，配方蕴含积雪草精萃，全新配方不油腻，累积修护受损头发,￥40.00
多效修复5,欧莱雅多效修复无硅洗发露,https://www.lorealparis.com.cn/Images/products/Images/G3087800_288_g.jpg,42930826-1040-11e9-87d9-f430b9124a41,全新升级，配方蕴含积雪草精萃，全新配方不油腻，累积修护受损头发,￥21.00
多效修复5,多效修复5润发乳,https://www.lorealparis.com.cn/Images/products/Images/G3088800_288_g.jpg,42930827-1040-11e9-828d-f430b9124a41,全新升级，48小时紧锁修护，配方蕴含积雪草精萃，全新配方不油腻，累积修护受损头发,￥67.00
茶树植萃去屑,欧莱雅茶树植萃去屑头皮调理喷雾,https://www.lorealparis.com.cn/Images/products/Images/G3200800_288_g.jpg,4293a44a-1040-11e9-b508-f430b9124a41,7天使用2次，专效抵御头屑反复,￥79.00
清润葡萄籽,欧莱雅清润葡萄籽精华鲜注面膜 5片,https://www.lorealparis.com.cn/Images/products/Images/G3671800_288_g.jpg,4294dd46-1040-11e9-a059-f430b9124a41,蕴含鲜润果粹的抗氧化力，看的到的鲜活亮泽，摸得到的水润弹性,￥118.00
清润葡萄籽,欧莱雅清润葡萄籽鲜粹面膜（全新升级）,https://www.lorealparis.com.cn/Images/products/Images/G3369901_288_g.jpg,429579da-1040-11e9-b311-f430b9124a41,蕴含鲜润果粹的抗氧化力，看的到的鲜活亮泽，摸得到的水润弹性,￥78.00
清润葡萄籽,清润葡萄籽膜力双重精华露,https://mrmoap.blob.core.chinacloudapi.cn/lorealparisadmin/20161028/f1056c0e-c748-41f8-850e-df6dff9ecc62.jpg,429579db-1040-11e9-a22c-f430b9124a41,双管精华 × 双效抗氧，不仅保湿抗氧化，更带来恋爱般的粉润光泽！,￥190.00
复颜抗皱紧致,复颜清漾柔肤水,https://www.lorealparis.com.cn/Images/products/Images/G1054701_288_g.jpg,4296162e-1040-11e9-9f8a-f430b9124a41,透明水状质地，即时补充水分，减少细纹，清新保湿，8大部位，更少皱纹，更多紧致，年轻继续,￥190.00
复颜抗皱紧致,复颜清乳柔肤水,https://www.lorealparis.com.cn/Images/products/Images/G1054801_288_g.jpg,42974f1e-1040-11e9-9594-f430b9124a41,牛奶精华质地，即刻沁润肌肤，有效淡化岁月痕迹，8大部位，更少皱纹，更多紧致，年轻继续。,￥170.00
专业UV防护,多重防护隔离露（柔紫）SPF30+/PA+++,https://www.lorealparis.com.cn/Images/products/Images/G1133301_288_g.gif,42974f1f-1040-11e9-9d52-f430b9124a41,柔紫色能有效贴合肌肤，修正偏黄暗沉肤色。轻薄舒适质地，使用后，有效抵御阳光造成的肌肤光老化现象：暗沉、肤色偏黄、色斑及失去弹性、细纹增加等。肤色更显均匀亮采！,￥150.00
茶树植萃去屑,欧莱雅茶树植萃去屑1分钟头皮深层净彻凝胶,https://www.lorealparis.com.cn/Images/products/Images/G3200400_288_g.jpg,4297eba4-1040-11e9-8308-f430b9124a41,全新头皮净彻磨砂膏，排浊去油，深层去屑,￥59.00
专业UV防护,UV BB隔离露 SPF30+/PA+++,https://www.lorealparis.com.cn/Images/products/Images/G1133101_288_g.jpg,429924e4-1040-11e9-bbda-f430b9124a41,抵御环境侵害，对抗氧化黯沉，卓效养肤与修颜，理想贴合肌肤，呈现匀净肤色。轻盈柔滑触感，令肌肤不粘不腻。匀净效果，轻薄质感，宛若无妆美肌！,￥160.00
清润葡萄籽,清润葡萄籽保湿乳液,https://www.lorealparis.com.cn/Images/products/Images/G2796700_288_g.jpg,4299c0ee-1040-11e9-97d1-f430b9124a41,"优质葡萄籽精华, 乳化水独特质地, 带给肌肤清新水感和持续保湿",￥160.00
清润葡萄籽,清润葡萄籽特润凝霜,https://www.lorealparis.com.cn/Images/products/Images/G1043901_288_g.jpg,4299c0ef-1040-11e9-a539-f430b9124a41,法国葡萄籽抗氧力，特润质地，立显水亮Q弹葡萄肌！,￥160.00
清润葡萄籽,清润葡萄籽膜力霜,https://www.lorealparis.com.cn/Images/products/Images/G1055101_288_g.jpg,429b07be-1040-11e9-8c16-f430b9124a41,法国葡萄籽 抗氧化力 带来面膜级保湿!神奇膜力霜质地，如水般清透柔润，不粘腻，如精华般润泽，高保湿，深透润，立现水亮Q弹葡萄肌！,￥160.00
清润葡萄籽,清润葡萄籽水嫩洁面乳,https://www.lorealparis.com.cn/Images/products/Images/G1043401_288_g.jpg,429b6e88-1040-11e9-b395-f430b9124a41,维生素+矿物质精华，膏状质地，温和洁净，清新滋润!,￥100.00
玻尿酸水光充盈导入系列,欧莱雅复颜玻尿酸水光充盈导入安瓶鲜注精华面膜,https://www.lorealparis.com.cn/Images/products/Images/G3626400_288_g.jpg,42b3e50c-1040-11e9-a39a-f430b9124a41,“一夜回春”干皮救星欧莱雅安瓶面膜，15分钟SPA唤醒水光肌,￥128.00
净颜系列,欧莱雅海盐泡沫洁面乳(蔷薇滋养型）,https://www.lorealparis.com.cn/Images/products/Images/G2907500_288_g.jpg,42b4819c-1040-11e9-9e88-f430b9124a41,深透洁净 莹润呵护,￥39.00
金致臻颜经典,金致臻颜奢养紧妍滋润乳液,https://www.lorealparis.com.cn/Images/products/Images/G1051801_288_g.jpg,42b51e68-1040-11e9-b791-f430b9124a41,赋活肌肤的健康光采。,￥320.00
金致臻颜经典,金致臻颜奢养紧妍晚霜,https://www.lorealparis.com.cn/Images/products/Images/G1043801_288_g.jpg,42b51e69-1040-11e9-b51c-f430b9124a41,赋活肌肤的健康光采。,￥310.00
金致臻颜经典,金致臻颜奢养紧妍日霜,https://www.lorealparis.com.cn/Images/products/Images/G1043701_288_g.jpg,42b5ba66-1040-11e9-8ebc-f430b9124a41,赋活肌肤的健康光采。,￥310.00
金致臻颜经典,金致臻颜奢养紧妍洁面乳,https://www.lorealparis.com.cn/Images/products/Images/G1043301_288_g.jpg,42b656e2-1040-11e9-bc12-f430b9124a41,赋活肌肤的健康光采。,￥190.00
金致臻颜经典,金致臻颜奢养紧妍眼霜,https://www.lorealparis.com.cn/Images/products/Images/G1051301_288_g.jpg,42b6f364-1040-11e9-9bee-f430b9124a41,赋活肌肤的健康光采。,￥330.00
